Energy(eV)	Element_n	Element	Line	Relative_intensity
1480.4	35	Br	"Lα1,"	111
1482.4	37	Rb	Ll	5
1486.3	13	Al	Kα	50
1486.7	13	Al	Kα	100
1521.4	70	Yb	Mα	100
1525.9	35	Br	Lβ	59
1557.4	13	Al	Kβ	1
1581.3	71	Lu	Mα	100
1582.2	38	Sr	Ll	5
1586	36	Kr	"Lα1,"	111
1636.6	36	Kr	Lβ	57
1644.6	72	Hf	Mα	100
1685.4	39	Y	Ll	5
1692.6	37	Rb	Lα	11
1694.1	37	Rb	Lα	100
1709.6	73	Ta	Mα	100
1739.4	14	Si	Kα	50
1740	14	Si	Kα	100
1752.2	37	Rb	Lβ	58
1775.4	74	W	Mα	100
1792	40	Zr	Ll	5
1804.7	38	Sr	Lα	11
1806.6	38	Sr	Lα	100
1835.9	14	Si	Kβ	2
1842.5	75	Re	Mα	100
1871.7	38	Sr	Lβ	58
1902.2	41	Nb	Ll	5
1910.2	76	Os	Mα	100
1920.5	39	Y	Lα	11
1922.6	39	Y	Lα	100
1979.9	77	Ir	Mα	100
1995.8	39	Y	Lβ	57
2012.7	15	P	Kα	50
2013.7	15	P	Kα	100
2015.7	42	Mo	Ll	5
2039.9	40	Zr	Lα	11
2042.4	40	Zr	Lα	100
2050.5	78	Pt	Mα	100
2122	43	Tc	Ll	5
2122.9	79	Au	Mα	100
2124.4	40	Zr	Lβ	54
2139.1	15	P	Kβ	3
2163	41	Nb	Lα	11
2165.9	41	Nb	Lα	100
2195.3	80	Hg	Mα	100
2219.4	40	Zr	"Lβ2,1"	1
2252.8	44	Ru	Ll	4
2257.4	41	Nb	Lβ	52
2270.6	81	Tl	Mα	100
2289.8	42	Mo	Lα	11
2293.2	42	Mo	Lα	100
2302.7	40	Zr	Lγ	2
2306.6	16	S	Kα	50
2307.8	16	S	Kα	100
2345.5	82	Pb	Mα	100
2367	41	Nb	"Lβ2,1"	3
2376.5	45	Rh	Ll	4
2394.8	42	Mo	Lβ	53
2420	43	Tc	Lα	11
2422.6	83	Bi	Mα	100
2424	43	Tc	Lα	100
2461.8	41	Nb	Lγ	2
2464	16	S	Kβ	5
2503.4	46	Pd	Ll	4
2518.3	42	Mo	"Lβ2,1"	5
2538	43	Tc	Lβ	54
2554.3	44	Ru	Lα	11
2558.6	44	Ru	Lα	100
2620.8	17	Cl	Kα	50
2622.4	17	Cl	Kα	100
2623.5	42	Mo	Lγ	3
2633.7	47	Ag	Ll	4
2674	43	Tc	"Lβ2,1"	7
2683.2	44	Ru	Lβ	54
2692	45	Rh	Lα	11
2696.7	45	Rh	Lα	100
2767.4	48	Cd	Ll	4
2792	43	Tc	Lγ	3
2815.6	17	Cl	Kβ	6
2833.3	46	Pd	Lα	11
2834.4	45	Rh	Lβ	52
2836	44	Ru	"Lβ2,1"	10
2838.6	46	Pd	Lα	100
2904.4	49	In	Ll	4
2955.6	18	Ar	Kα	50
2957.7	18	Ar	Kα	100
2964.5	44	Ru	Lγ	4
2978.2	47	Ag	Lα	11
2984.3	47	Ag	Lα	100
2990.2	46	Pd	Lβ	53
2996.1	90	Th	Mα	100
3001.3	45	Rh	"Lβ2,1"	10
3045	50	Sn	Ll	4
3126.9	48	Cd	Lα	11
3133.7	48	Cd	Lα	100
3143.8	45	Rh	Lγ	5
3150.9	47	Ag	Lβ	56
3170.8	92	U	Mα	100
