Time (s),RMS CH2 (V),Heater Voltage (V),Heater Current (A),Temp Raw (C),Delta T Raw (C/s),DVM CH2 (V)
144.5008533,1.066,35,0.412,78.46694926,0.221030858,1.06
145.0009894,1.066,35,0.412,78.57085154,0.212213923,1.07
145.5013034,1.066,35,0.412,78.67810642,0.212140266,1.07
146.0009396,1.066,35,0.412,78.79206578,0.216902179,1.07
146.5017226,1.066,35,0.412,78.89597089,0.216407354,1.07
146.9986019,1.066,35,0.412,79.0065806,0.220358114,1.07
147.5008516,1.066,35,0.412,79.11719143,0.215779546,1.07
148.0010052,1.066,35,0.412,79.28143389,0.256896448,1.07
148.5016057,1.066,35,0.412,79.3819918,0.249973875,1.07
148.9988225,1.066,35,0.412,79.49260667,0.251677814,1.07
149.5015483,1.066,35,0.412,79.60657482,0.21558532,1.06
150.0007167,1.066,35,0.412,79.7071361,0.217123991,1.06
150.5006976,1.066,35,0.412,79.81775477,0.21677367,1.07
150.9978411,1.066,35,0.412,79.92167051,0.211270777,1.07
151.5014575,1.066,35,0.412,80.03229183,0.215213918,1.07
152.0009859,1.066,35,0.412,80.13956235,0.214740928,1.07
152.5002804,1.066,35,0.412,80.24348196,0.214844104,1.06
152.9986942,1.066,35,0.412,80.35410749,0.215226558,1.07
153.5003071,1.066,35,0.412,80.46138218,0.213856694,1.07
154.0004895,1.066,35,0.412,80.57201072,0.218939306,1.07
154.5003662,1.066,35,0.412,80.72957529,0.250373588,1.07
154.9979005,1.066,35,0.412,80.83685517,0.251555861,1.06
155.4997807,1.066,35,0.412,80.94748916,0.249381207,1.08
155.9986258,1.066,35,0.412,81.0514196,0.215059615,1.1
156.4987936,1.066,35,0.412,81.1587042,0.214494018,1.08
156.9988501,1.066,35,0.412,81.26599044,0.212310192,1.08
157.5010762,1.066,35,0.412,81.37663112,0.215846682,1.08
158.0015774,1.066,35,0.412,81.47721511,0.212127985,1.06
158.4988978,1.066,35,0.412,81.58450636,0.213488066,1.07
158.9987252,1.066,35,0.412,81.6951523,0.212420786,1.07
159.5003614,1.066,35,0.412,81.79909413,0.213886067,1.07
160.0000656,1.066,35,0.412,81.90974375,0.21695331,1.07
160.5010858,1.066,35,0.412,82.067339,0.247619232,1.07
160.9988909,1.066,35,0.412,82.17128701,0.249222612,1.08
161.5011506,1.066,35,0.412,82.27188355,0.240340321,1.08
162.0011804,1.066,35,0.412,82.3825417,0.210122604,1.07
162.5015593,1.066,35,0.412,82.48649518,0.20997968,1.06
162.9984176,1.066,35,0.412,82.59380395,0.215970604,1.06
163.5007052,1.066,35,0.412,82.70111472,0.211414743,1.07
164.0015714,1.066,35,0.412,82.81178109,0.216482252,1.07
164.5005028,1.066,35,0.412,82.91238878,0.212844777,1.07
164.9983561,1.066,35,0.412,83.02305936,0.215555232,1.06
165.5018489,1.066,35,0.412,83.13037843,0.210924779,1.06
166.0008957,1.066,35,0.412,83.23769965,0.21728815,1.07
166.5007155,1.066,35,0.412,83.38862379,0.243797505,1.08
167.0009084,1.066,35,0.412,83.49259628,0.24138545,1.08
167.500154,1.066,35,0.412,83.60663305,0.246327235,1.06
168.00122,1.066,35,0.412,83.71060997,0.21420079,1.06
168.5008175,1.066,35,0.412,83.81794323,0.217072689,1.07
169.0000031,1.066,35,0.412,83.92192454,0.210537271,1.07
169.50104,1.066,35,0.412,84.0292624,0.211995323,1.07
170.0006366,1.066,35,0.412,84.1332482,0.210373038,1.07
170.5011525,1.066,35,0.412,84.24059073,0.212225135,1.07
170.9979551,1.066,35,0.412,84.34122656,0.209314646,1.07
171.498343,1.066,35,0.412,84.45192845,0.212288805,1.07
172.0006959,1.066,35,0.412,84.55592353,0.209237212,1.07
172.500968,1.066,35,0.412,84.71359796,0.248112611,1.08
173.0022862,1.066,35,0.412,84.81759898,0.243139335,1.08
173.5017328,1.066,35,0.412,84.91824742,0.241816889,1.07
174.0012136,1.066,35,0.412,85.01889812,0.203745042,1.07
174.500737,1.066,35,0.412,85.1329717,0.21044908,1.06
175.0010712,1.066,35,0.412,85.23698255,0.212348132,1.06
175.5005705,1.066,35,0.412,85.34099591,0.214947094,1.06
176.0000582,1.066,35,0.412,85.44165639,0.206000887,1.09
176.500622,1.066,35,0.412,85.54567473,0.205562964,1.09
176.9985046,1.066,35,0.412,85.64969563,0.206675042,1.07
177.500818,1.066,35,0.412,85.76043041,0.211537282,1.06
177.9991672,1.066,35,0.412,85.85774523,0.208736172,1.07
178.5003877,1.066,35,0.412,86.01882313,0.245485785,1.09
179.0001776,1.066,35,0.412,86.12621195,0.243956844,1.09
179.5013859,1.066,35,0.412,86.22689157,0.245504271,1.07
180.0015171,1.066,35,0.412,86.33428598,0.210253426,1.07
180.5011222,1.067,35,0.412,86.4383271,0.208241203,1.07
180.9983335,1.066,35,0.412,86.54237098,0.211499256,1.07
181.5010314,1.067,35,0.412,86.64306126,0.204745405,1.07
182.000262,1.067,35,0.412,86.74375418,0.203931853,1.07
182.5010026,1.067,35,0.412,86.85116287,0.205556821,1.06
183.001981,1.066,35,0.412,86.95521795,0.207698005,1.06
183.5008199,1.067,35,0.412,87.06263266,0.213080469,1.06
184.0007846,1.066,35,0.412,87.15997991,0.205892552,1.07
184.5010471,1.067,35,0.412,87.32111201,0.24380138,1.07
185.0005543,1.067,35,0.412,87.42182317,0.239696592,1.06
185.50102,1.067,35,0.412,87.5258943,0.243715963,1.07
186.0007229,1.066,35,0.412,87.62325387,0.201547653,1.07
186.5004401,1.066,35,0.412,87.73068819,0.206026528,1.07
187.0005159,1.066,35,0.412,87.83476828,0.205884771,1.06
187.4998701,1.066,35,0.412,87.93549387,0.208429236,1.06
188.0019495,1.066,35,0.412,88.03622234,0.202845802,1.06
188.5012755,1.066,35,0.412,88.14031149,0.203970425,1.07
189.0006976,1.066,35,0.412,88.24776163,0.208419409,1.07
189.5008533,1.066,35,0.412,88.35185715,0.210357708,1.07
190.0006249,1.066,35,0.412,88.45259778,0.208286007,1.07
