Time(s),CH1(V),CH2(V)
0.005075,0.884362,-0.013895
0.005075,0.884362,-0.013011
0.005075,0.884362,-0.012126
0.005075,0.884362,-0.011684
0.005075,0.884362,-0.010800
0.005076,0.884362,-0.009473
0.005076,0.884362,-0.009473
0.005076,0.884362,-0.010800
0.005076,0.884362,-0.013453
0.005076,0.884362,-0.014780
0.005076,0.884362,-0.013453
0.005077,0.884362,-0.011242
0.005077,0.844161,-0.009473
0.005077,0.844161,-0.009031
0.005077,0.844161,-0.009031
0.005077,0.844161,-0.010357
0.005077,0.844161,-0.012126
0.005077,0.844161,-0.013453
0.005078,0.844161,-0.013895
0.005078,0.844161,-0.013453
0.005078,0.844161,-0.011684
0.005078,0.844161,-0.009031
0.005078,0.844161,-0.007704
0.005078,0.844161,-0.008589
0.005079,0.844161,-0.010800
0.005079,0.844161,-0.012568
0.005079,0.844161,-0.013453
0.005079,0.803960,-0.013453
0.005079,0.803960,-0.013011
0.005079,0.803960,-0.011242
0.005080,0.803960,-0.009031
0.005080,0.803960,-0.008146
0.005080,0.803960,-0.008589
0.005080,0.803960,-0.010357
0.005080,0.803960,-0.012126
0.005080,0.803960,-0.013453
0.005080,0.803960,-0.013011
0.005081,0.803960,-0.012568
0.005081,0.803960,-0.010800
0.005081,0.803960,-0.009031
0.005081,0.763759,-0.008589
0.005081,0.763759,-0.009031
0.005081,0.763759,-0.010357
0.005082,0.763759,-0.011684
0.005082,0.763759,-0.012126
0.005082,0.763759,-0.012568
0.005082,0.763759,-0.012126
0.005082,0.763759,-0.011242
0.005082,0.763759,-0.009915
0.005083,0.763759,-0.009915
0.005083,0.763759,-0.009915
0.005083,0.763759,-0.009473
0.005083,0.763759,-0.009031
0.005083,0.763759,-0.009473
0.005083,0.763759,-0.010357
0.005083,0.723558,-0.010800
0.005084,0.723558,-0.011242
0.005084,0.723558,-0.011242
0.005084,0.723558,-0.010800
0.005084,0.723558,-0.009915
0.005084,0.723558,-0.010800
0.005084,0.723558,-0.010800
0.005085,0.723558,-0.009915
0.005085,0.723558,-0.008589
0.005085,0.723558,-0.008589
0.005085,0.723558,-0.009915
0.005085,0.723558,-0.010357
0.005085,0.723558,-0.009915
0.005085,0.723558,-0.009031
0.005086,0.683357,-0.009031
0.005086,0.683357,-0.010800
0.005086,0.683357,-0.011684
0.005086,0.723558,-0.011684
0.005086,0.683357,-0.010357
0.005086,0.683357,-0.009473
0.005087,0.683357,-0.008589
0.005087,0.683357,-0.008146
0.005087,0.683357,-0.007262
0.005087,0.683357,-0.007262
0.005087,0.683357,-0.008146
0.005087,0.683357,-0.009473
0.005088,0.683357,-0.011684
0.005088,0.683357,-0.011242
0.005088,0.683357,-0.009915
0.005088,0.683357,-0.008589
0.005088,0.683357,-0.009473
